[2026-04-23 09:51:53] Queue watcher started. Waiting on PID 20049 for current parity+NoPE+Ponder run.
[2026-04-23 11:24:54] Detected current NoPE run has finished. Launching parity+WPE-once+Ponder with n_steps=20.
Launching WPE-once Ponder run: {'task': 'parity', 'output_root': '/data/yizhou/looped-tf-length-generalization/models/wpe_once_baselines', 'seed': 42, 'beta': 0.01, 'prior_lambda': 0.2, 'dynamic_n': False, 'n_steps': 20, 'use_wpe': True, 'wpe_mode': 'once', 'use_rope': False}

  0%|          | 0/100001 [00:00<?, ?it/s]
loss=2.2107 rec=2.2054 kl=0.5324 n_points=2:   0%|          | 0/100001 [00:01<?, ?it/s]
loss=2.2107 rec=2.2054 kl=0.5324 n_points=2:   0%|          | 1/100001 [00:01<41:30:12,  1.49s/it]
loss=1.8229 rec=1.8177 kl=0.5242 n_points=2:   0%|          | 1/100001 [00:01<41:30:12,  1.49s/it]
loss=0.0012 rec=0.0010 kl=0.0137 n_points=2:   0%|          | 55/100001 [00:05<1:48:53, 15.30it/s]
loss=0.0012 rec=0.0010 kl=0.0137 n_points=2:   0%|          | 57/100001 [00:05<1:51:20, 14.96it/s]
loss=0.0011 rec=0.0010 kl=0.0117 n_points=2:   0%|          | 57/100001 [00:05<1:51:20, 14.96it/s]
loss=0.0011 rec=0.0010 kl=0.0097 n_points=2:   0%|          | 57/100001 [00:05<1:51:20, 14.96it/s]
loss=0.0011 rec=0.0010 kl=0.0097 n_points=2:   0%|          | 59/100001 [00:05<1:47:45, 15.46it/s]
loss=0.0010 rec=0.0010 kl=0.0073 n_points=2:   0%|          | 59/100001 [00:05<1:47:45, 15.46it/s]
loss=0.0010 rec=0.0010 kl=0.0063 n_points=2:   0%|          | 59/100001 [00:05<1:47:45, 15.46it/s]
loss=0.0010 rec=0.0010 kl=0.0063 n_points=2:   0%|          | 61/100001 [00:05<1:47:01, 15.56it/s]
loss=0.0010 rec=0.0009 kl=0.0052 n_points=2:   0%|          | 61/100001 [00:05<1:47:01, 15.56it/s]
loss=0.0010 rec=0.0009 kl=0.0053 n_points=2:   0%|          | 61/100001 [00:05<1:47:01, 15.56it/s]
loss=0.0010 rec=0.0009 kl=0.0053 n_points=2:   0%|          | 63/100001 [00:05<1:45:48, 15.74it/s]
loss=0.0010 rec=0.0009 kl=0.0045 n_points=2:   0%|          | 63/100001 [00:05<1:45:48, 15.74it/s]
loss=0.0010 rec=0.0009 kl=0.0046 n_points=2:   0%|          | 63/100001 [00:05<1:45:48, 15.74it/s]
loss=0.0010 rec=0.0009 kl=0.0046 n_points=2:   0%|          | 65/100001 [00:05<1:45:09, 15.84it/s]
